Company|CIK|Date|Link
DOLLAR GENERAL CORP|29534|2001-01-10|https://www.sec.gov/Archives/edgar/data/29534/000091431701000024/0001.txt
DOLLAR GENERAL CORP|29534|2001-02-09|https://www.sec.gov/Archives/edgar/data/29534/000091431701000078/0001.txt
DOLLAR GENERAL CORP|29534|2001-02-09|https://www.sec.gov/Archives/edgar/data/29534/000091431701000077/0001.txt
AUTOZONE INC|866787|2001-01-04|https://www.sec.gov/Archives/edgar/data/866787/000101190801500004/clark.txt
DOLLAR GENERAL CORP|29534|2001-01-10|https://www.sec.gov/Archives/edgar/data/29534/000091431701000022/0001.txt
DOLLAR GENERAL CORP|29534|2001-01-10|https://www.sec.gov/Archives/edgar/data/29534/000091431701000023/0001.txt
DOLLAR GENERAL CORP|29534|2001-01-10|https://www.sec.gov/Archives/edgar/data/29534/000091431701000032/0001.txt
DOLLAR GENERAL CORP|29534|2001-02-09|https://www.sec.gov/Archives/edgar/data/29534/000091431701000079/0001.txt
DOLLAR GENERAL CORP|29534|2001-03-12|https://www.sec.gov/Archives/edgar/data/29534/000091431701000165/0001.txt
DOLLAR GENERAL CORP|29534|2001-03-12|https://www.sec.gov/Archives/edgar/data/29534/000091431701000164/0001.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-01-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201000005/0001.txt
PARKER HANNIFIN CORP|76334|2001-01-10|https://www.sec.gov/Archives/edgar/data/76334/000102176501000001/0001.txt
HOST MARRIOTT CORP/|1070750|2001-03-09|https://www.sec.gov/Archives/edgar/data/1070750/000089375001000155/0001.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-01-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201000006/0001.txt
NIKE INC|320187|2001-01-10|https://www.sec.gov/Archives/edgar/data/320187/000113224301000005/0001.txt
PARKER HANNIFIN CORP|76334|2001-01-10|https://www.sec.gov/Archives/edgar/data/76334/000108796301000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-02-12|https://www.sec.gov/Archives/edgar/data/76334/000102174601000003/0001.txt
PARKER HANNIFIN CORP|76334|2001-02-12|https://www.sec.gov/Archives/edgar/data/76334/000104967901000002/0001.txt
PARKER HANNIFIN CORP|76334|2001-02-12|https://www.sec.gov/Archives/edgar/data/76334/000107853001000003/0001.txt
PINNACLE WEST CAPITAL CORP|764622|2001-01-10|https://www.sec.gov/Archives/edgar/data/764622/000095014701500050/e-6046.txt
PARKER HANNIFIN CORP|76334|2001-03-12|https://www.sec.gov/Archives/edgar/data/76334/000102175701000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-03-12|https://www.sec.gov/Archives/edgar/data/76334/000102174601000004/0001.txt
PINNACLE WEST CAPITAL CORP|764622|2001-03-09|https://www.sec.gov/Archives/edgar/data/764622/000095014701500523/e-6464.txt
AUTOZONE INC|866787|2001-04-09|https://www.sec.gov/Archives/edgar/data/866787/000101190801500009/soamarch.txt
CARNIVAL CORP|815097|2001-06-11|https://www.sec.gov/Archives/edgar/data/815097/000095014201500119/form4dubin.txt
CARNIVAL CORP|815097|2001-06-11|https://www.sec.gov/Archives/edgar/data/815097/000095014201500123/form4ma1997holdingslp.txt
CARNIVAL CORP|815097|2001-06-11|https://www.sec.gov/Archives/edgar/data/815097/000095014201500121/form4jmddelaware.txt
COACH INC|1116132|2001-05-09|https://www.sec.gov/Archives/edgar/data/1116132/000095017201500159/s260352.txt
CARNIVAL CORP|815097|2001-06-11|https://www.sec.gov/Archives/edgar/data/815097/000095014201500124/form4ma1997holdingsinc.txt
DANAHER CORP /DE/|313616|2001-06-08|https://www.sec.gov/Archives/edgar/data/313616/000095016901500116/d4.txt
DANAHER CORP /DE/|313616|2001-06-08|https://www.sec.gov/Archives/edgar/data/313616/000095016901500115/d4.txt
DOLLAR GENERAL CORP|29534|2001-06-11|https://www.sec.gov/Archives/edgar/data/29534/000091431701500165/form4_37479-dw.txt
DOLLAR GENERAL CORP|29534|2001-06-11|https://www.sec.gov/Archives/edgar/data/29534/000091431701500168/form4-39479_rs.txt
DOLLAR GENERAL CORP|29534|2001-06-11|https://www.sec.gov/Archives/edgar/data/29534/000091431701500166/form4-39479_ctjr.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500006/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500005/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500009/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500012/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500013/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500017/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500016/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500015/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500018/edgar.txt
ECHOSTAR COMMUNICATIONS CORP|1001082|2001-06-08|https://www.sec.gov/Archives/edgar/data/1001082/000100108201500014/edgar.txt
HOST MARRIOTT CORP/|1070750|2001-06-08|https://www.sec.gov/Archives/edgar/data/1070750/000089375001500132/form-4.txt
NIKE INC|320187|2001-04-09|https://www.sec.gov/Archives/edgar/data/320187/000113224301000009/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000102174601000005/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000102174901000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000102175601000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000102175201000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000102175701000003/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000102176301000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000104967301000002/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000104967301000003/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000104967501000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000104967701000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000104968201000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000107852801000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000106591801000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000107852901000001/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000107853001000004/0001.txt
PARKER HANNIFIN CORP|76334|2001-04-10|https://www.sec.gov/Archives/edgar/data/76334/000112827801000004/0001.txt
PARKER HANNIFIN CORP|76334|2001-05-10|https://www.sec.gov/Archives/edgar/data/76334/000102174901500002/edgar.txt
PARKER HANNIFIN CORP|76334|2001-05-10|https://www.sec.gov/Archives/edgar/data/76334/000107852901500002/edgar.txt
PARKER HANNIFIN CORP|76334|2001-05-10|https://www.sec.gov/Archives/edgar/data/76334/000102176301500003/edgar.txt
PARKER HANNIFIN CORP|76334|2001-05-14|https://www.sec.gov/Archives/edgar/data/76334/000108796301500009/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-05|https://www.sec.gov/Archives/edgar/data/76334/000107852901500004/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000102174701500005/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000102175601500002/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000102174901500003/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000102175201500002/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000102175701500004/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000104967901500002/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000104968201500002/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000107852901500006/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-11|https://www.sec.gov/Archives/edgar/data/76334/000102175701500003/edgar.txt
PARKER HANNIFIN CORP|76334|2001-06-14|https://www.sec.gov/Archives/edgar/data/76334/000106591801500002/edgar.txt
PINNACLE WEST CAPITAL CORP|764622|2001-04-06|https://www.sec.gov/Archives/edgar/data/764622/000095014701500695/e-6623.txt
PINNACLE WEST CAPITAL CORP|764622|2001-05-10|https://www.sec.gov/Archives/edgar/data/764622/000095014701500844/e-6794.txt
PINNACLE WEST CAPITAL CORP|764622|2001-05-10|https://www.sec.gov/Archives/edgar/data/764622/000095014701500845/e-6795.txt
PINNACLE WEST CAPITAL CORP|764622|2001-05-10|https://www.sec.gov/Archives/edgar/data/764622/000095014701500846/e-6796.txt
PINNACLE WEST CAPITAL CORP|764622|2001-05-10|https://www.sec.gov/Archives/edgar/data/764622/000095014701500849/e-6799.txt
PINNACLE WEST CAPITAL CORP|764622|2001-05-10|https://www.sec.gov/Archives/edgar/data/764622/000095014701500850/e-6800.txt
PINNACLE WEST CAPITAL CORP|764622|2001-06-08|https://www.sec.gov/Archives/edgar/data/764622/000095014701501076/e-6986.txt
VERIZON COMMUNICATIONS INC|732712|2001-04-09|https://www.sec.gov/Archives/edgar/data/732712/000095010301500837/form4apr901.txt
SYSCO CORP|96021|2001-06-26|https://www.sec.gov/Archives/edgar/data/96021/000091406201500279/gold4601.txt
DANAHER CORP /DE/|313616|2000-09-06|https://www.sec.gov/Archives/edgar/data/313616/000095016900001141/0001.txt
